id_partida,id_league,referee,date,venue.name,home.name,home.id,away.name,away.id,home.winner,home,away,halftime.home,halftime.away
35113,71,"Raphael Claus, Brazil",2017-11-26T19:00:00+00:00,Estádio Mineirão,Cruzeiro,135,Vasco DA Gama,133,False,0,1,0,1
35115,71,"Ricardo Marques Ribeiro, Brazil",2017-11-26T19:00:00+00:00,Moisés Lucarelli,Ponte Preta,139,Vitoria,136,False,2,3,2,0
35110,71,"Wilton Pereira Sampaio, Brazil",2017-11-26T19:00:00+00:00,Estádio da Ressacada,Avai,145,Atletico Paranaense,134,True,1,0,1,0
35112,71,"Anderson Daronco, Brazil",2017-11-26T19:00:00+00:00,Estádio Couto Pereira,Coritiba,147,Sao Paulo,126,False,1,2,1,0
35108,71,"Pericles Bassols Pegado Cortez, Brazil",2017-11-26T21:00:00+00:00,Arena Fonte Nova,Bahia,118,Chapecoense-sc,132,False,0,1,0,1
35109,71,"Braulio Da Silva Machado, Brazil",2017-11-26T21:00:00+00:00,Estádio Ilha do Urubu,Flamengo,127,Santos,128,False,1,2,1,1
35107,71,"Elmo Alves Resende Cunha, Brazil",2017-11-27T22:00:00+00:00,Allianz Parque,Palmeiras,121,Botafogo,120,True,2,0,0,0
35100,71,"Leandro Bizzio Marinho,",2017-12-03T19:00:00+00:00,Estádio Nilton Santos,Botafogo,120,Cruzeiro,135,,2,2,1,1
35104,71,"Ricardo Marques Ribeiro, Brazil",2017-12-03T19:00:00+00:00,Ilha do Retiro,Sport Recife,123,Corinthians,131,True,1,0,0,0
35103,71,"Elmo Alves Resende Cunha, Brazil",2017-12-03T19:00:00+00:00,Morumbi,Sao Paulo,126,Bahia,118,,1,1,0,0
35102,71,"Wagner do Nascimento Magalhaes, Brazil",2017-12-03T19:00:00+00:00,Urbano Caldeira,Santos,128,Avai,145,,1,1,1,1
35101,71,"Luiz Flavio De Oliveira, Brazil",2017-12-03T19:00:00+00:00,Arena Condá,Chapecoense-sc,132,Coritiba,147,True,2,1,1,1
35105,71,"Rafael Traci, Brazil",2017-12-03T19:00:00+00:00,São Januário,Vasco DA Gama,133,Ponte Preta,139,True,2,1,1,0
35098,71,"Claudio Francisco Lima E. Silva, Brazil",2017-12-03T19:00:00+00:00,Arena da Baixada,Atletico Paranaense,134,Palmeiras,121,True,3,0,3,0
35106,71,"Dewson Fernando Freitas da Silva, Brazil",2017-12-03T19:00:00+00:00,Estadio Manoel Barradas,Vitoria,136,Flamengo,127,False,1,2,1,0
35097,71,"Anderson Daronco, Brazil",2017-12-03T19:00:00+00:00,Estádio Olimpico Pedro Ludovico,Atletico Goianiense,144,Fluminense,124,,1,1,1,1
35099,71,"Marcelo Aparecido Ribeiro de Souza, Brazil",2017-12-03T19:00:00+00:00,Arena Independência,Atletico-MG,1062,Gremio,130,True,4,3,2,2
