fixture_id,id_league,referee,date,venue.name,home.name,home.id,away.name,away.id,home.winner,home,away,halftime.home,halftime.away
1180375,71,Bruno Pereira Vasconcelos,2024-04-20T21:30:00+00:00,Arena do Grêmio,Gremio,130,Cuiaba,1193,True,1,0,1,0
1180381,71,Rafael Rodrigo Klein,2024-04-20T21:30:00+00:00,Estádio Nabi Abi Chedid,RB Bragantino,794,Corinthians,131,True,1,0,1,0
1180376,71,Ramon Abatti,2024-04-21T00:00:00+00:00,Arena MRV,Atletico-MG,1062,Cruzeiro,135,True,3,0,3,0
1180380,71,Rodrigo José Pereira de Lima,2024-04-21T19:00:00+00:00,Allianz Parque,Palmeiras,121,Flamengo,127,,0,0,0,0
1180382,71,Felipe Fernandes de Lima,2024-04-21T19:00:00+00:00,Ligga Arena,Atletico Paranaense,134,Internacional,119,True,1,0,0,0
1180377,71,Raphael Claus,2024-04-21T19:00:00+00:00,Estádio Manoel Barradas,Vitoria,136,Bahia,118,,2,2,1,0
1180379,71,Arthur Gomes Rabelo,2024-04-21T21:30:00+00:00,Estádio Nilton Santos,Botafogo,120,Juventude,152,True,5,1,2,0
1180383,71,Braulio da Silva Machado,2024-04-21T21:30:00+00:00,Estádio Antônio Accioly,Atletico Goianiense,144,Sao Paulo,126,False,0,3,0,1
1180389,71,Caio Max Augusto Vieira,2024-04-27T19:00:00+00:00,Estádio São Januário,Vasco DA Gama,133,Criciuma,140,False,0,4,0,1
1180393,71,Sávio Pereira,2024-04-27T21:30:00+00:00,Arena Pantanal,Cuiaba,1193,Atletico-MG,1062,False,0,3,0,1
1180387,71,Braulio da Silva Machado,2024-04-28T00:00:00+00:00,Arena Fonte Nova,Bahia,118,Gremio,130,True,1,0,1,0
1180388,71,Raphael Claus,2024-04-28T14:00:00+00:00,Estadio Jornalista Mário Filho,Flamengo,127,Botafogo,120,False,0,2,0,0
1180390,71,Ramon Abatti,2024-04-28T19:00:00+00:00,Neo Química Arena,Corinthians,131,Fluminense,124,True,3,0,2,0
1180386,71,Fabio Augusto Santos Sá Junior,2024-04-28T19:00:00+00:00,Estádio Governador Magalhães Pinto,Cruzeiro,135,Vitoria,136,True,3,1,0,0
1180394,71,Alex Gomes,2024-04-28T21:30:00+00:00,Estádio Alfredo Jaconi,Juventude,152,Atletico Paranaense,134,,1,1,1,0
1180392,71,Davi de Oliveira Lacerda,2024-04-28T21:30:00+00:00,Estádio Governador Plácido Aderaldo Castelo,Fortaleza EC,154,RB Bragantino,794,,1,1,1,1
